date,replies,retweets,favorites
6/12/2016 18:36,1822,8598,11535
6/12/2016 17:17,485,2378,2619
6/10/2016 20:56,963,19013,36140
6/10/2016 19:53,484,5925,12242
6/10/2016 17:47,271,1572,4112
6/10/2016 16:25,217,1774,3655
6/10/2016 0:43,477,1679,8238
6/8/2016 21:31,795,6252,15902
6/7/2016 21:57,624,3951,10912
6/7/2016 20:52,222,1008,3054
6/7/2016 18:33,291,701,2181
6/7/2016 16:58,186,620,2434
6/7/2016 15:24,580,7482,16626
6/6/2016 21:46,780,2746,8389
6/6/2016 19:09,339,1752,4401
6/6/2016 17:00,220,416,1844
6/6/2016 15:32,2369,16096,29352
6/4/2016 15:41,755,9016,23526
6/3/2016 20:45,352,808,2545
6/3/2016 19:38,426,1831,5845
6/3/2016 17:35,279,463,1767
6/3/2016 15:57,225,556,1909
6/2/2016 23:30,322,1705,3818
6/2/2016 22:31,395,1526,3844
6/2/2016 21:24,493,2893,6825
6/2/2016 20:09,293,2214,4733
6/2/2016 18:08,417,1565,3904
6/2/2016 16:53,542,3448,8331
6/2/2016 15:34,4130,18095,42159
6/1/2016 23:47,226,392,1427
6/1/2016 23:05,91,274,579
6/1/2016 22:04,388,3512,5060
6/1/2016 21:08,201,412,1323
6/1/2016 20:20,281,1192,2336
6/1/2016 19:53,401,2798,7815
6/1/2016 19:31,175,399,1223
6/1/2016 18:33,132,364,1094
6/1/2016 16:37,204,709,2110
6/1/2016 15:19,280,611,2598
5/31/2016 22:23,314,653,2883
5/31/2016 20:12,223,729,2086
5/31/2016 16:51,530,4138,11076
5/31/2016 15:21,268,477,1675
5/30/2016 18:21,760,6464,21237
5/30/2016 14:36,281,1259,4827
5/29/2016 16:47,130,328,1083
5/27/2016 21:26,624,941,3065
5/27/2016 18:28,357,595,2103
5/27/2016 15:53,355,1477,5006
5/26/2016 20:14,359,758,2283
5/26/2016 18:37,370,2277,6298
5/26/2016 15:50,437,729,3022
5/25/2016 22:25,679,5201,10086
5/25/2016 19:14,224,582,1696
5/25/2016 18:07,303,2926,7421
5/25/2016 16:06,378,1227,5979
5/24/2016 21:47,307,630,2118
5/24/2016 20:20,231,334,1361
5/24/2016 18:29,214,504,1613
5/24/2016 17:08,725,699,2999
5/24/2016 15:58,273,1905,5502
5/23/2016 20:08,308,517,2552
5/23/2016 17:17,230,544,1739
5/23/2016 15:47,260,855,2653
5/22/2016 22:18,589,5509,11837
5/21/2016 23:40,392,1331,5121
5/21/2016 15:08,285,560,2364
5/20/2016 21:35,518,537,2337
5/20/2016 20:51,238,747,2270
5/20/2016 17:06,242,865,2641
5/20/2016 15:46,185,624,1769
5/19/2016 21:11,320,932,2727
5/19/2016 19:37,352,528,2449
5/19/2016 17:21,418,2199,7849
5/19/2016 16:02,161,464,1731
5/18/2016 22:03,645,554,2622
5/18/2016 21:18,195,970,2182
5/18/2016 20:22,220,496,1736
5/18/2016 18:53,144,242,976
5/18/2016 18:01,218,1181,4126
5/18/2016 15:35,138,468,1661
5/18/2016 0:35,189,819,1606
5/17/2016 21:58,976,688,3345
5/17/2016 19:04,202,609,2243
5/17/2016 17:15,205,533,1614
5/17/2016 15:11,525,2870,9071
5/16/2016 21:48,406,2053,3768
5/16/2016 20:53,222,506,1669
5/16/2016 18:58,170,369,1418
5/16/2016 17:38,140,379,1317
5/16/2016 16:06,225,665,2167
5/13/2016 22:01,1010,3305,8467
5/13/2016 21:01,240,457,1515
5/13/2016 19:53,188,462,1529
5/13/2016 18:33,795,2344,6008
5/13/2016 17:27,200,438,1566
5/13/2016 15:31,194,579,2296
5/12/2016 21:28,264,472,1581
5/12/2016 19:16,311,467,1535
5/12/2016 17:37,426,2033,7453
5/12/2016 15:33,730,3588,10895
5/11/2016 22:35,434,2436,5965
5/11/2016 19:26,255,549,1932
5/11/2016 16:17,190,490,1772
5/10/2016 20:59,452,1784,6006
5/10/2016 20:07,122,245,712
5/10/2016 18:55,190,609,1888
5/10/2016 16:16,531,3219,9035
5/9/2016 19:39,422,790,2471
5/9/2016 17:24,398,1295,4314
5/9/2016 15:13,179,377,1697
5/8/2016 17:26,387,1824,6805
5/6/2016 21:05,524,833,2869
5/6/2016 18:48,418,821,2259
5/6/2016 16:45,517,2867,8647
5/6/2016 16:16,189,387,1383
5/6/2016 13:39,365,1661,5192
5/5/2016 21:12,439,1423,4520
5/5/2016 19:13,251,747,2200
5/5/2016 17:12,143,363,1486
5/5/2016 16:13,215,2054,4573
5/4/2016 22:12,516,908,3067
5/4/2016 20:11,193,449,1434
5/4/2016 18:00,449,4620,6124
5/4/2016 15:51,169,483,1629
5/3/2016 20:33,243,423,1449
5/3/2016 17:44,490,2228,7189
5/3/2016 16:40,384,712,2805
5/3/2016 14:00,355,2265,6833
5/2/2016 21:31,346,870,2565
5/2/2016 20:08,375,1373,5070
5/2/2016 18:46,155,455,1368
5/2/2016 15:59,294,913,2523
5/1/2016 22:26,542,2858,9163
5/1/2016 20:15,251,883,2929
5/1/2016 2:05,409,1610,4674
4/30/2016 22:28,354,667,2216
4/30/2016 21:18,366,1085,3929
4/30/2016 15:36,300,947,3196
4/29/2016 21:06,682,3489,7291
4/29/2016 15:10,350,1046,3729
4/28/2016 21:18,379,750,2196
4/28/2016 20:21,453,3586,8873
4/28/2016 18:08,410,1236,2995
4/28/2016 15:30,317,977,3801
4/27/2016 22:20,307,600,1857
4/27/2016 21:15,313,1260,3096
4/27/2016 20:09,275,1114,4118
4/27/2016 18:40,231,820,2325
4/27/2016 16:44,242,800,2061
4/26/2016 20:58,391,1700,3595
4/26/2016 20:02,240,640,1568
4/26/2016 18:15,418,3006,8405
4/26/2016 16:29,199,843,2371
4/25/2016 21:43,459,1972,3882
4/25/2016 19:22,499,2997,7118
4/25/2016 17:28,242,481,1443
4/25/2016 15:24,509,1966,6083
4/23/2016 19:36,667,1139,3411
4/23/2016 18:07,212,550,2077
4/23/2016 15:55,239,974,3818
4/22/2016 22:35,499,2593,6493
4/22/2016 22:22,198,2368,9832
4/22/2016 21:53,428,2435,7042
4/22/2016 21:18,116,914,1758
4/22/2016 19:34,262,885,2349
4/22/2016 18:08,242,520,1465
4/22/2016 17:19,124,791,1705
4/22/2016 16:08,232,1326,3367
4/22/2016 15:47,109,576,1964
4/21/2016 20:07,775,17899,37092
4/21/2016 16:21,294,1048,3879
4/20/2016 21:23,254,1042,2244
4/20/2016 19:37,316,587,1605
4/20/2016 17:26,304,1860,5952
4/20/2016 16:00,193,616,1925
4/19/2016 22:08,316,536,1607
4/19/2016 19:26,646,6479,12130
4/19/2016 17:52,177,605,1870
4/19/2016 15:43,214,661,1959
4/18/2016 22:23,324,1432,4439
4/18/2016 20:56,283,1003,3215
4/18/2016 19:55,254,1441,2161
4/18/2016 17:56,386,2035,4829
4/18/2016 15:44,193,878,2737
4/15/2016 20:57,434,807,3003
4/15/2016 15:55,747,1308,5061
4/14/2016 21:53,296,985,2775
4/14/2016 17:32,477,2032,5478
4/14/2016 16:14,228,707,2052
4/13/2016 20:53,196,784,1849
4/13/2016 19:05,178,314,1286
4/13/2016 17:45,101,304,1035
4/13/2016 17:19,235,1526,4444
4/13/2016 15:46,162,762,2109
4/12/2016 22:13,427,3104,6951
4/12/2016 21:13,213,1355,3027
4/12/2016 19:25,431,9639,9539
4/12/2016 17:37,177,626,1691
4/12/2016 16:23,354,1556,4349
4/12/2016 15:36,152,665,1827
4/12/2016 15:06,146,628,1996
4/12/2016 14:24,166,970,2172
4/11/2016 21:50,674,5025,20095
4/11/2016 21:06,175,458,1546
