date,approving
2014-11-07,40
2014-11-06,40
2014-11-05,40
2014-11-04,40
2014-11-03,40
2014-11-02,42
2014-11-01,42
2014-10-31,42
2014-10-30,42
2014-10-29,42
2014-10-28,42
2014-10-27,42
2014-10-26,42
2014-10-25,42
2014-10-24,42
2014-10-23,42
2014-10-22,42
2014-10-21,42
2014-10-20,42
2014-10-19,41
2014-10-18,41
2014-10-17,41
2014-10-16,41
2014-10-15,41
2014-10-14,41
2014-10-13,41
2014-10-12,41
2014-10-11,41
2014-10-10,41
2014-10-09,41
2014-10-08,41
2014-10-07,41
2014-10-06,41
2014-10-05,43
2014-10-04,43
2014-10-03,43
2014-10-02,43
2014-10-01,43
2014-09-30,43
2014-09-29,43
2014-09-28,42
2014-09-27,42
2014-09-26,42
2014-09-25,42
2014-09-24,42
2014-09-23,42
2014-09-22,42
2014-09-21,43
2014-09-20,43
2014-09-19,43
2014-09-18,43
2014-09-17,43
2014-09-16,43
2014-09-15,43
2014-09-14,41
2014-09-13,41
2014-09-12,41
2014-09-11,41
2014-09-10,41
2014-09-09,41
2014-09-08,41
2014-09-07,40
2014-09-06,40
2014-09-05,40
2014-09-04,40
2014-09-03,40
2014-09-02,40
2014-09-01,40
2014-08-31,41
2014-08-30,41
2014-08-29,41
2014-08-28,41
2014-08-27,41
2014-08-26,41
2014-08-25,41
2014-08-24,43
2014-08-23,43
2014-08-22,43
2014-08-21,43
2014-08-20,43
2014-08-19,43
2014-08-18,43
2014-08-17,41
2014-08-16,41
2014-08-15,41
2014-08-14,41
2014-08-13,41
2014-08-12,41
2014-08-11,41
2014-08-10,42
2014-08-09,42
2014-08-08,42
2014-08-07,42
2014-08-06,42
2014-08-05,42
2014-08-04,42
2014-08-03,42
2014-08-02,42
2014-08-01,42
2014-07-31,42
2014-07-30,42
2014-07-29,42
2014-07-28,42
2014-07-27,41
2014-07-26,41
2014-07-25,41
2014-07-24,41
2014-07-23,41
2014-07-22,41
2014-07-21,41
2014-07-20,43
2014-07-19,43
2014-07-18,43
2014-07-17,43
2014-07-16,43
2014-07-15,43
2014-07-14,43
2014-07-13,42
2014-07-12,42
2014-07-11,42
2014-07-10,42
2014-07-09,42
2014-07-08,42
2014-07-07,42
2014-07-06,43
2014-07-05,43
2014-07-04,43
2014-07-03,43
2014-07-02,43
2014-07-01,43
2014-06-30,43
2014-06-29,42
2014-06-28,42
2014-06-27,42
2014-06-26,42
2014-06-25,42
2014-06-24,42
2014-06-23,42
2014-06-22,41
2014-06-21,41
2014-06-20,41
2014-06-19,41
2014-06-18,41
2014-06-17,41
2014-06-16,41
2014-06-15,42
2014-06-14,42
2014-06-13,42
2014-06-12,42
2014-06-11,42
2014-06-10,42
2014-06-09,42
2014-06-08,44
2014-06-07,44
2014-06-06,44
2014-06-05,44
2014-06-04,44
2014-06-03,44
2014-06-02,44
2014-06-01,44
2014-05-31,44
2014-05-30,44
2014-05-29,44
2014-05-28,44
2014-05-27,44
2014-05-26,44
2014-05-25,43
2014-05-24,43
2014-05-23,43
2014-05-22,43
2014-05-21,43
2014-05-20,43
2014-05-19,43
2014-05-18,44
2014-05-17,44
2014-05-16,44
2014-05-15,44
2014-05-14,44
2014-05-13,44
2014-05-12,44
2014-05-11,45
2014-05-10,45
2014-05-09,45
2014-05-08,45
2014-05-07,45
2014-05-06,45
2014-05-05,45
2014-05-04,44
2014-05-03,44
2014-05-02,44
2014-05-01,44
2014-04-30,44
2014-04-29,44
2014-04-28,44
2014-04-27,44
2014-04-26,44
2014-04-25,44
2014-04-24,44
2014-04-23,44
2014-04-22,44
2014-04-21,44
2014-04-20,44
2014-04-19,44
2014-04-18,44
2014-04-17,44
2014-04-16,44
2014-04-15,44
2014-04-14,44
2014-04-13,43
2014-04-12,43
2014-04-11,43
2014-04-10,43
2014-04-09,43
2014-04-08,43
2014-04-07,43
2014-04-06,44
2014-04-05,44
2014-04-04,44
2014-04-03,44
2014-04-02,44
2014-04-01,44
2014-03-31,44
2014-03-30,43
2014-03-29,43
2014-03-28,43
2014-03-27,43
2014-03-26,43
2014-03-25,43
2014-03-24,43
2014-03-23,44
2014-03-22,44
2014-03-21,44
2014-03-20,44
2014-03-19,44
2014-03-18,44
2014-03-17,44
2014-03-16,40
2014-03-15,40
2014-03-14,40
2014-03-13,40
2014-03-12,40
2014-03-11,40
2014-03-10,40
2014-03-09,43
2014-03-08,43
2014-03-07,43
2014-03-06,43
2014-03-05,43
2014-03-04,43
2014-03-03,43
2014-03-02,42
2014-03-01,42
2014-02-28,42
2014-02-27,42
2014-02-26,42
2014-02-25,42
2014-02-24,42
2014-02-23,45
2014-02-22,45
2014-02-21,45
2014-02-20,45
2014-02-19,45
2014-02-18,45
2014-02-17,45
2014-02-16,40
2014-02-15,40
2014-02-14,40
2014-02-13,40
2014-02-12,40
2014-02-11,40
2014-02-10,40
2014-02-09,41
2014-02-08,41
2014-02-07,41
2014-02-06,41
2014-02-05,41
2014-02-04,41
2014-02-03,41
2014-02-02,42
2014-02-01,42
2014-01-31,42
2014-01-30,42
2014-01-29,42
2014-01-28,42
2014-01-27,42
2014-01-26,42
2014-01-25,42
2014-01-24,42
2014-01-23,42
2014-01-22,42
2014-01-21,42
2014-01-20,42
2014-01-19,40
2014-01-18,40
2014-01-17,40
2014-01-16,40
2014-01-15,40
2014-01-14,40
2014-01-13,40
2014-01-12,41
2014-01-11,41
2014-01-10,41
2014-01-09,41
2014-01-08,41
2014-01-07,41
2014-01-06,41
2014-01-05,41
2014-01-04,41
