,modeldate,text,retweet_count,favorite_count
124,2021-02-11 21:16:04,RT @POTUS: No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in…,6968,0
125,2021-02-11 15:13:52,"RT @POTUS: We can reduce suffering in this country, put people back to work, and gain control of this virus.

That’s what the American Resc…",7024,0
126,2021-02-11 00:09:41,"RT @POTUS: The risk isn't that we do too much when it comes to a COVID relief package — it's that we don't do enough.

We have to go big.",16531,0
127,2021-02-10 15:07:57,RT @POTUS: Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan t…,8594,0
128,2021-02-09 23:39:30,RT @POTUS: We can’t stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Re…,8137,0
129,2021-02-09 18:15:07,"RT @POTUS: There’s so much more work to be done, but we’ve been able to increase vaccine distribution by 28% in the first three weeks alone…",6891,0
130,2021-02-09 15:15:20,RT @POTUS: Launching a national vaccination program to quickly and equitably vaccinate America — that’s the American Rescue Plan. https://t…,6468,0
131,2021-02-08 18:52:59,RT @POTUS: Making vaccines free and accessible for every American — that’s the American Rescue Plan. https://t.co/5GpH0VYWIE,12159,0
132,2021-02-08 14:16:01,RT @POTUS: We don’t have a second to waste when it comes to delivering the American people the relief they desperately need. I’m calling on…,13019,0
133,2021-02-07 22:08:28,"RT @POTUS: For your family, for your neighbors, for your country — wear a mask.",35627,0
134,2021-02-07 17:20:17,RT @POTUS: Everyone who wants a vaccine should be able to get one free of charge. The American Rescue Plan will make that a reality.,16584,0
135,2021-02-06 16:06:26,"RT @POTUS: Last year, Michele lost her job because of the pandemic. I recently gave her a call to hear her story and discuss how my America…",8801,0
136,2021-02-05 23:55:25,"RT @POTUS: This morning, I met with House Democratic leaders to discuss the American Rescue Plan. As I said during the meeting: this isn’t…",7163,0
137,2021-02-05 19:31:56,RT @POTUS: America is back. Diplomacy is back. https://t.co/03dFPQyYjw,10582,0
138,2021-02-04 19:44:04,"RT @POTUS: This afternoon, I’m visiting the @StateDept and delivering remarks on America’s role in the world. Tune in. https://t.co/zWG3UET…",4050,0
139,2021-02-04 17:12:11,RT @POTUS: Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head — that’s the Amer…,6300,0
140,2021-02-04 00:09:28,RT @POTUS: Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the Americ…,20373,0
141,2021-02-03 19:46:07,RT @POTUS: Officer Brian Sicknick was a hero who died in the line of duty defending our democracy and the citadel of liberty itself. To his…,12497,0
142,2021-02-03 13:49:14,RT @POTUS: No one should lose their home in the middle of this pandemic. My American Rescue Plan will extend the moratorium on evictions an…,14241,0
143,2021-02-02 19:12:50,RT @POTUS: It’s long past time we raise the minimum wage to $15 an hour. The American Rescue Plan will get it done.,23691,0
